Mod,WR (Main cat.),WR for,Runners,Difficulty,Optimization,Guides,Segmented/TAS,Extra,RTSL,ModDB,Steam,HL1 mov,Tags,,,,,,,,,,,,,WR for
The PTSD Mod,11:34 / Filarmonia_,122 days,6,★★☆☆☆,★★★☆☆,-,Filarmonia's 9:36,-,✓,✓,🞪,?,?,,,,,,,,,,,,,365 
The PTSD Mod 2,12:13 / HardLifeNH,102 days,3,★★★★☆,★★★☆☆,-,-,Lyren's 2024 marathon run,✓,✓,🞪,?,?,,,,,,,,,,,,,1373 
The Stanley Parable,27:36 / Kevbot43,2860 days,14,☆☆☆☆☆,☆☆☆☆☆,,,,,,,?,,,,,,,,,,,,,,
The Thing Remaster,1:23.34 / Lyren,365 days,3,★☆☆☆☆,☆☆☆☆☆,-,-,-,🞪,✓,🞪,?,Level Tranistion Clip,,,,,,,,,,,,,1420 
The Wraith 2: Conjuring,1:23.34 / Lyren,150 days,1,★☆☆☆☆,★★☆☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,
Think Tank,23:15 / VehicleRonald,1373 days,2,★★★☆☆,★★☆☆☆,-,-,-,✓,✓,🞪,?,?,,,,,,,,,,,,,780 
Third Party,2:56.58 / Lyren,40 days,2,★★☆☆☆,☆☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,
Thunder's Leaves,26:18 / owerfloww,108 days,1,★★★☆☆,★☆☆☆☆,,,-,🞪,✓,🞪,?,BBT,,,,,,,,,,,,,
Tinje,43.995 / PenPerson,1420 days,4,★★☆☆☆,★★★☆☆,-,Peng's 34.305,-,✓,🞪,🞪,?,Old engine,,,,,,,,,,,,,1949 
Too Many Crates!,23:29 / alexandrnull,780 days,6,★★★☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,No ahop,,,,,,,,,,,,,203 
Transmissions: Element 120,3:07.17 / Lyren,1949 days,20,★★☆☆☆,★★★★☆,-,SourceRuns 2:19.490,-,🞪,🞪,✓,🞪,Unique mobility weapon,,,,,,,,,,,,,
TrapVille,14:07 / Lyren,203 days,4,★★★☆☆,★☆☆☆☆,-,SourceRuns 8:31.230,-,✓,🞪,🞪,✓,"State preserve (timescale), BBT, ISG",,,,,,,,,,,,,337 
TWHL Tower: Source,28:15 / Lyren,226 days,7,★★★☆☆,★★☆☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,1107 
UNRECORDED - C17,2:55.680 / Lyren,337 days,2,★★☆☆☆,☆☆☆☆☆,-,-,download,🞪,🞪,🞪,?,,,,,,,,,,,,,,994 
Upmine Struggle,4:58.030 / VehicleRonald,1107 days,3,★☆☆☆☆,★★★★★,-,-,-,✓,✓,🞪,✓,,,,,,,,,,,,,,1326 
Uzvara,54.825 / Lyren,994 days,3,★★☆☆☆,★★★☆☆,-,-,-,✓,✓,🞪,?,Propclip,,,,,,,,,,,,,1286 
Very Hard Mod,2:26.880 / Lyren,1326 days,2,★★☆☆☆,★★☆☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,249 
Watching Paint Dry: The Game,22.23 / Lyren,1286 days,18,★☆☆☆☆,★★★☆☆,-,-,-,🞪,✓,🞪,?,?,,,,,,,,,,,,,386 
Water,19:24 / Rama,249 days,2,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,Unique movement,,,,,,,,,,,,,
What Remains,9:42.12 / Lyren,386 days,1,☆☆☆☆☆,☆☆☆☆☆,-,-,-,🞪,✓,🞪,?,"Propclip, BBT",,,,,,,,,,,,,338 
Whoopservatory,1:04.92 / Lyren,326 days,1,★★★★☆,☆☆☆☆☆,-,SourceRuns 1:13,-,✓,✓,🞪,?,,,,,,,,,,,,,,
Wilson Chronicles,14:26 / BotSkipper,338 days,2,☆☆☆☆☆,☆☆☆☆☆,-,-,-,🞪,✓,✓,?,"NPC Clip, bhop",,,,,,,,,,,,,
